t,x,y,z,s_along_slope,penetration_est
0.323000,-0.733883,0.080042,-0.000000,-0.033883,0.000042
0.324000,-0.734091,0.080042,-0.000000,-0.034091,0.000042
0.325000,-0.734301,0.080042,-0.000000,-0.034301,0.000042
0.326000,-0.734510,0.080042,-0.000000,-0.034510,0.000042
0.327000,-0.734721,0.080042,-0.000000,-0.034721,0.000042
0.328000,-0.734932,0.080042,-0.000000,-0.034932,0.000042
0.329000,-0.735144,0.080042,-0.000000,-0.035144,0.000042
0.330000,-0.735356,0.080042,-0.000000,-0.035356,0.000042
0.331000,-0.735569,0.080043,-0.000000,-0.035569,0.000043
0.332000,-0.735783,0.080043,-0.000000,-0.035783,0.000043
0.333000,-0.735998,0.080043,-0.000000,-0.035998,0.000043
0.334000,-0.736213,0.080043,-0.000000,-0.036213,0.000043
0.335000,-0.736428,0.080043,-0.000000,-0.036428,0.000043
0.336000,-0.736645,0.080043,-0.000000,-0.036645,0.000043
0.337000,-0.736862,0.080043,-0.000000,-0.036862,0.000043
0.338000,-0.737079,0.080044,-0.000000,-0.037079,0.000044
0.339000,-0.737297,0.080044,-0.000000,-0.037297,0.000044
0.340000,-0.737516,0.080044,-0.000000,-0.037516,0.000044
0.341000,-0.737736,0.080044,-0.000000,-0.037736,0.000044
0.342000,-0.737956,0.080044,-0.000000,-0.037956,0.000044
0.343000,-0.738177,0.080044,-0.000000,-0.038177,0.000044
0.344000,-0.738398,0.080044,-0.000000,-0.038398,0.000044
0.345000,-0.738620,0.080044,-0.000000,-0.038620,0.000044
0.346000,-0.738843,0.080045,-0.000000,-0.038843,0.000045
0.347000,-0.739067,0.080045,-0.000000,-0.039067,0.000045
0.348000,-0.739291,0.080045,-0.000000,-0.039291,0.000045
0.349000,-0.739515,0.080045,-0.000000,-0.039515,0.000045
0.350000,-0.739741,0.080045,-0.000000,-0.039741,0.000045
0.351000,-0.739967,0.080045,-0.000000,-0.039967,0.000045
0.352000,-0.740193,0.080045,-0.000000,-0.040193,0.000045
0.353000,-0.740420,0.080045,-0.000000,-0.040420,0.000045
0.354000,-0.740648,0.080046,-0.000000,-0.040648,0.000046
0.355000,-0.740877,0.080046,-0.000000,-0.040877,0.000046
0.356000,-0.741106,0.080046,-0.000000,-0.041106,0.000046
0.357000,-0.741336,0.080046,-0.000000,-0.041336,0.000046
0.358000,-0.741566,0.080046,-0.000000,-0.041566,0.000046
